CONSECUTIVO,ESTADO,PROGRAMA,MODALIDAD,EXPEDICION,SUPERFICIE_ha,FECHA,fn_SUPERFICIE_ha
1,Nacional,Programa de Ordenamiento Ecológico General del Territorio,General del Territorio,D.O.F. 07/Sep/2012,196437500,2012-09-07,196437500
2,"Quintana Roo, Yucatán, Campeche, Tabasco, Veracruz y Tamaulipas",Programa de Ordenamiento Ecológico Marino y Regional del Golfo de México y Mar Caribe y se da a conocer la parte regional del propio Programa,Marino,D.O.F. 24/Nov/2012,82702380,2012-11-24,82702380
3,"Baja California, Baja California Sur, Sonora, Sinaloa y Nayarit.",Programa de Ordenamiento Ecológico Marino del Golfo de California,Marino,D.O.F. 29/Nov/2006;  D.O.F. 15/Dic/2006,24700000,2006-12-15,24700000
4,"Baja California, Baja California Sur",Programa de Ordenamiento Ecológico Marino y Regional Pacífico Norte,Marino,D.O.F 09/Ago/2018,95055000,2018-08-09,95055000
5,Aguascalientes,Programa de Ordenamiento Ecológico Estatal de Aguascalientes,Regional,P.O. 08/Oct/2021,562156,2021-10-08,562156
6,Aguascalientes,Programa de Ordenamiento Ecológico Local del Municipio de Aguascalientes,Local,P.O. 24/Oct/2016,120424,2016-10-24,120424
7,Baja California,Programa de Ordenamiento Ecológico del Estado de Baja California.,Regional,P.O. 03/Jul/2014   (Actualización),7177759,2014-07-03,7177759
8,Baja California,"Programa de Ordenamiento Ecológico del Municipio de Mexicali, B.C.",Local,P.O. 24/Nov/2000,1437486,2000-11-24,1437486
9,Baja California,"Programa de Ordenamiento Ecológico del Municipio de Tijuana, B.C.",Local,P.O. 11/Oct/2019,123863,2019-10-11,123863
10,Baja California,Programa de Ordenamiento Ecológico Costero Terrestre Puertecitos-Paralelo 28º¸,Local,P.O. 19/Oct/2007,115500,2007-10-19,115500
11,Baja California,Programa Regional de Ordenamiento Ecológico del Corredor San Antonio de las Minas-Valle de Guadalupe,Local,P.O. 08/Sep/2006,96055,2006-09-08,96055
12,Baja California,Programa de Ordenamiento Ecológico de la región de San Quintín,Local,P.O. 15/Jun/2007,72346,2007-06-15,72346
13,Baja California Sur,Plan de Ordenamiento Ecológico del Municipio de Los Cabos,Local,P.O. 31/Ago/1995,476757,1995-08-31,476757
14,Baja California Sur,Plan de Ordenamiento Ecológico Local del Municipio de Loreto,Local,P.O. 12/Mar/2014,431100,2014-03-12,431100
15,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Calakmul,Local,P.O. 01/Dic/2015 (Actualizacion);                       P.O. 04/Oct/2018 (Modificacion),1383911,2018-10-04,1383911
16,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Campeche,Local,P.O. 15/Feb/2011                  P.O. 12/Ago/2014 (Actualización UGA VI),324696,2014-08-12,324696
17,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Champotón,Local,P.O. 08/Jun/2012        P.O. 21/Sep/2018 (Modificación Criterios),682055,2018-09-21,682055
18,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Escarcega,Local,P.O. 30/Ene/2015,475318,2015-01-30,475318
19,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Hecelchakan,Local,P.O. 21/Nov/2014,130695,2014-11-21,130695
20,Campeche,Programa de Ordenamiento Ecológico Territorial del Municipio de Hopelchen,Local,P.O. 12/Ene/2018,747900,2018-01-12,747900
21,Chiapas,Programa de Ordenamiento Ecológico y Territorial del Estado de Chiapas,Regional,P.O. 07/Dic/2012,7367000,2012-12-07,7367000
22,Chiapas,Programa de Ordenamiento Ecológico y Territorial de la Subcuenca del Río Lagartero,Regional,P.O. 24/Mar/2010,23060,2010-03-24,23060
23,Chiapas,Programa de Ordenamiento Ecológico y Territorial de la Subcuenca del Río Sabinal,Regional,P.O. 27/Ene/2021 (Actualizacion),40744,2021-01-27,40744
24,Chiapas,"Programa de Ordenamiento Ecológico del Territorio de la Región Norte de Chiapas, Subregion II",Regional,P.O. 06/Dic/2017,69698,2017-12-06,69698
25,Chiapas,Programa de Ordenamiento Ecológico del Territorio de los municipios de La Subcuenca del Rio Grande y Parque Nacional Lagunas de Montebello,Regional,P.O. 06/Ene/2021            P.O 28/Abr/2021,610785,2021-04-28,610785
26,Chiapas,Programa de Ordenamiento Ecológico y Territorial de la Subcuenca del Río Coapa,Local,P.O.  29/Ago/2012 (Actualización),40522,2012-08-29,40522
27,Chiapas,Ordenamiento Ecológico Territorial de la Subcuenca del Río Zanatenco,Local,P.O. 31/Mar/2004,41494,2004-03-31,41494
28,Chiapas,Programa de Ordenamiento Ecológico del Territorio del Municipio de San Cristobal de las Casas,Local,P.O. 14/Ago/2018,48400,2018-08-14,48400
29,Chihuahua,Programa de Ordenamiento Ecológico Territorial del Municipio de Chihuahua,Local,P.O. 06/Abr/2019,836888,2019-04-06,836888
30,Chihuahua,Programa de Ordenamiento Ecológico Territorial del Municipio de Juarez,Local,P.O. 22/Ago/2015,242080,2015-08-22,242080
31,Coahuila,Programa de Ordenamiento Ecológico Regional del Territorio del Estado de Coahuila,Regional,P.O. 28/Nov/2017                 P.O. 21/Abr/2020   (Adición criterios CUS3 y CUS4),15156256,2020-04-21,15156256
32,Coahuila,Programa de Ordenamiento Ecológico Local del Municipio de Torreon,Local,P.O. 16/Feb/2018,128271,2018-02-16,128271
33,Colima,Programa de Ordenamiento Ecológico y Territorial del Estado de Colima,Regional,P.O 11/Ago/2012 (Actualización);                  P.O. 21/Sep/2013 (Modificación),563430,2013-09-21,563430
34,Colima,Programa Regional de Ordenamiento Ecológico Territorial de la Subcuenca Laguna de Cuyutlán,Regional,P.O.  03/May/2007 (Reformado);                   P.O. 05/Abr/2014 (Modificación),53610,2014-04-05,53610
35,Colima,Programa de Ordenamiento Ecológico y Territorial Local del Municipio de Manzanillo,Local,P.O. 30/Jul/2016,157840,2016-07-30,157840
36,CDMX,Programa General de Ordenamiento Ecológico del Distrito Federal,Regional,P.O. 01/Ago/2000,88442,2000-08-01,88442
37,Durango,Programa de Ordenamiento Ecológico Territorial del Estado de Durango,Regional,P.O. 08/Sep/2016,12333400,2016-09-08,12333400
38,Durango,Programa de Ordenamiento Ecológico Regional de la Cuenca Santiaguillo,Regional,P.O. 24/Oct/2019,254716,2019-10-24,254716
39,Durango,Programa de Ordenamiento Ecológico del Territorio del Municipio de Durango,Local,P.O. 19/Sep/2013,925971,2013-09-19,925971
40,Durango,Programa de Ordenamiento Ecológico del Municipio de Gomez Palacio,Local,P.O. 18/Jul/2013,84236,2013-07-18,84236
41,Durango,Programa de Ordenamiento Ecológico del Municipio de Lerdo,Local,P.O. 04/Jul/2013,210546,2013-07-04,210546
42,Durango,Programa de Ordenamiento Ecológico del Municipio de Mapimí,Local,P.O. 27/Ago/2019,772544,2019-08-27,772544
43,Durango,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Nombre de Dios,Local,P.O. 29/Dic/2020,118512,2020-12-29,118512
44,Durango,Programa de Ordenamiento Ecológico del Municipio de Pueblo Nuevo,Local,P.O. 14/Abr/2019,693908,2019-04-14,693908
45,Durango,Programa de Ordenamiento Ecológico Local del Territorio del Municipio de Santiago Papasquiaro,Local,P.O. 15/Sep/2013,639877,2013-09-15,639877
46,Guanajuato,Programa Estatal de Desarrollo Urbano y Ordenamiento Ecológico Territorial,Regional,P.O. 28/Nov/2014;              P.O. 05/Dic/2014                    (Fe de erratas);                 P.O. 02/Abr/2019 (Actualización),3058361,2019-04-02,3058361
47,Guanajuato,Ordenamiento Ecológico del Territorio de la Región VI Centro-Este Laja-Bajío,Regional,P.O. 22/Ago/2000,305430,2000-08-22,305430
48,Guanajuato,Programa de Ordenamiento Ecológico Local del Municipio de Salamanca,Local,P.O. 30/Nov/2012,74600,2012-11-30,74600
49,Guanajuato,Programa de Ordenamiento Ecológico y Territorial del Municipio de San Miguel de Allende,Local,P.O. 01/Jun/2012,155698,2012-06-01,155698
50,Guerrero,Programa Municipal de Ordenamiento Ecológico y Territorial de San Marcos,Local,P.O. 27/Ene/2009,116130,2009-01-27,116130
51,Hidalgo,Programa de Ordenamiento Ecológico Territorial del Estado de Hidalgo,Regional,P.O 25/Feb/2022 (Actualización),2090512,2022-02-25,2090512
52,Hidalgo,Programa de Ordenamiento Ecológico Territorial del Municipio de Huasca de Ocampo,Local,P.O. 30/Oct/2000,30580,2000-10-30,30580
53,Hidalgo,Programa de Ordenamiento Ecológico del Territorio del Municipio de Pachuca de Soto,Local,P.O. 30/12/2022,15287,2022-12-30,15287
54,Hidalgo,Programa de Ordenamiento Ecológico Territorial Local del Municipio de Tepeji del Río de Ocampo,Local,P.O. 28/Jun/2004,36450,2004-06-28,36450
55,Jalisco,Programa de Ordenamiento Ecológico del Territorio del Estado de Jalisco.,Regional,P.O. 28/Jul/2001;            P.O. 27/Jul/2006 (Reformado),6562235,2006-07-27,6562235
56,Jalisco,"Programa de Ordenamiento Ecológicode la Región denominada """"Costa Alegre"""" del Estado de Jalisco  y modificación de la unidad de Gestión Ambiental Ff322 del modelo de Ordenamiento Ecológico de la región """"Costa Alegre"""" ventana Puerto Vallarta-El Tuito",Regional,P.O. 27/Feb/1999;          P.O. 29/Abril/1999               (Fe de erratas);                   P.O. 06/Nov/1999 (Modificación Ventana municipio Puerto Vallarta);                            P.O. 20/Jul/2010            (Acuerdo de adición);                P.O. 01/Oct/2011       (Acuerdo de modificación);,1451466,2011-10-01,1451466
57,Jalisco,"Programa de Ordenamiento Ecológico y Territorial Regional ?Costalegre? que comprende los municipios de Cabo Corrientes, Cihuatlán, Tomatlán y La Huerta",Regional,P.O. 11/Sep/2021           P.O. 12/Mar/2022 (Reforma),743207,2022-03-12,743207
58,Jalisco,Programa de Ordenamiento Ecológico Regional Altos Norte,Regional,P.O. 12/Mar/2020,855400,2020-03-12,855400
59,Jalisco,Programa de Ordenamiento Ecológico Regional Chapala,Regional,P.O. 11/Dic/2021,255251,2021-12-11,255251
60,Jalisco,Programa de Ordenamiento Ecológico Regional Paisaje Agavero,Regional,P.O. 11/Sep/2021,214175,2021-09-11,214175
61,Jalisco,Programa de Ordenamiento Ecológico Regional Tapalpa,Regional,P.O. 20/Nov/2021,196398,2021-11-20,196398
62,Jalisco,Programa de Ordenamiento Ecológico Local del Municipio de Cabo Corrientes,Local,G.M. 22/Nov/2011,62110,2011-11-22,62110
63,Jalisco,Programa de Ordenamiento Ecológico del Municipio de Cihuatlán,Local,G.M. 09/Mzo/2011,55086,2011-03-09,55086
